trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",30,0,-219.88333031420473,"{0: 15, 1: 2, 2: 9, 3: 1, 4: 3}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,5,-129.38400302398531,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",1
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-122.52922078517818,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-25.08103273348657,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",35,0,-199.09273789610336,"{0: 17, 1: 6, 2: 9, 3: 1, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-115.03343442047311,"{0: 13, 1: 2, 2: 8, 3: 2, 4: 0}",1
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-25.40315694425519,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-88.25302640605204,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",30,4,-82.07241765517846,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 1}",1
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",25,0,-66.36830248992689,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,13,-29.60886799414477,"{0: 4, 1: 1, 2: 1, 3: 1, 4: 0}",1
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-118.57913851252985,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-128.26671816977813,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-26.865193323235932,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",30,0,-164.32057071046188,"{0: 14, 1: 5, 2: 9, 3: 1, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",30,0,-169.48770014930253,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-140.2993131310008,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,2,-154.96538605919002,"{0: 8, 1: 1, 2: 6, 3: 1, 4: 2}",1
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-101.04905420134992,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-99.05484418268311,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-80.89150880358842,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,0,-143.59904140047433,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-112.37633602654276,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520296}",20,0,-118.27835950766952,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,10,-40.60318360735119,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 0}",1
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",30,11,-36.702686987415305,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",25,0,-85.52711577607731,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",30,0,-142.02204315097657,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
