trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,15,-40.903889772249286,"{0: 5, 1: 0, 2: 5, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,8,-102.69649163588247,"{0: 4, 1: 0, 2: 7, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,18,-45.29000713157466,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,8,-137.81241870251927,"{0: 4, 1: 0, 2: 6, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,12,-64.09797725096517,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",30,18,-62.12171725557954,"{0: 6, 1: 0, 2: 5, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,13,-156.9503031468125,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 3}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,13,-56.5648242620202,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,18,-32.31814421463554,"{0: 5, 1: 0, 2: 0, 3: 2, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,12,-34.367025686050646,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,8,-115.46030335926928,"{0: 4, 1: 0, 2: 6, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,8,-102.54341448862604,"{0: 4, 1: 0, 2: 7, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,12,-41.93423333760626,"{0: 4, 1: 0, 2: 3, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,14,-81.88803588668004,"{0: 5, 1: 0, 2: 5, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,8,-145.51525936663955,"{0: 4, 1: 0, 2: 5, 3: 1, 4: 2}",1
16,False,"{'a': 0.5, 'e': 1.0}",30,20,-94.7378795809142,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 1.0}",30,16,-76.10234394001667,"{0: 6, 1: 0, 2: 8, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,16,-34.110638329288996,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,11,-75.35395834671228,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,13,-23.83323999939926,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,18,-54.90772338950542,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 1}",1
